,author,statement,source,date,target,BinaryTarget,BinaryNumTarget
122,Louis,"""The First Amendment doesn’t allow you to willingly lie.""",Whoopi Goldberg,"March 17, 2023",barely-true,FAKE,0
123,Samantha,Kari Lake called Trump the “fattest president since Taft” in a 2016 tweet.,Tweets,"March 16, 2023",false,FAKE,0
124,Andy,"""We’re just burning 300 gallons of jet fuel to de-ice this clean energy wind turbine … that needs 80 gallons of synthetic oil to operate.""",Facebook posts,"March 16, 2023",false,FAKE,0
125,Gabrielle,Monster Energy’s logo uses a sign of the anti-Christ as part of its marketing effort.,Facebook posts,"March 15, 2023",pants-fire,FAKE,0
126,Amy,A $2 million grant for Georgia’s DeKalb County amounts to a “private takeover of election offices.”,Facebook posts,"March 15, 2023",false,FAKE,0
127,Tom,On drilling on federal lands.,Joe Biden,"March 15, 2023",full-flop,FAKE,0
128,Amy,“More cops are killed responding to domestic violence calls than anything else.”,Joe Biden,"March 15, 2023",false,FAKE,0
129,Ciara,“Elon Musk bans Greta Thunberg from Twitter.”,Bloggers,"March 15, 2023",false,FAKE,0
130,Samantha,Walgreens’ position “has always been” to “dispense Mifepristone in any jurisdiction where it is legally permissible to do so.”,Walgreens,"March 15, 2023",mostly-true,REAL,1
131,Yacob,"""Ron DeSantis wants to raise the retirement age to 70.""",DeSantis Watch,"March 15, 2023",barely-true,FAKE,0
132,Ciara,“Russian dementia care facilities are using Biden on their poster.”,Viral image,"March 15, 2023",false,FAKE,0
133,Ciara,“Clinton ally mysteriously dies.”,Facebook posts,"March 15, 2023",false,FAKE,0
134,Loreben,Photos of the Statue of Liberty taken in 1920 and 2020 show that the sea level hasn’t changed.,Instagram posts,"March 14, 2023",false,FAKE,0
135,Ciara,Video shows U.S. Secret Service agents are demons.,Viral image,"March 14, 2023",pants-fire,FAKE,0
136,Ciara,“Emergency injunction and tribunal order was served to WHO … to immediately cease and desist a criminal conspiracy to commit war crimes.”,Viral image,"March 14, 2023",pants-fire,FAKE,0
137,Paul,“The left is determined to erase Mount Rushmore from our history books.”,North Carolina Republican Party,"March 14, 2023",false,FAKE,0
138,Ciara,Audio captures former Presidents Donald Trump and Barack Obama debating Michelle Obama’s gender.,Viral image,"March 14, 2023",false,FAKE,0
139,D.L.,"""Wisconsin has seen over 63 billion dollars of federal pandemic-related funding funnel into our state over (Gov. Tony Evers') tenure.""",Joan Ballweg,"March 14, 2023",mostly-true,REAL,1
140,Ciara,"Elon Musk tweeted, “The world is flat.”",Viral image,"March 13, 2023",false,FAKE,0
141,Ciara,“The Simpsons” predicted money missing from Bank of America customers’ accounts in January.,Viral image,"March 13, 2023",false,FAKE,0
142,Ciara,“Harry could be exiled to Botswana after he was deported from the United States due to an expired visa.”,Facebook posts,"March 13, 2023",pants-fire,FAKE,0
143,Ciara,“‘The View’ settles with the Rittenhouses for $22 million and a formal apology.”,Bloggers,"March 13, 2023",false,FAKE,0
144,Amy,"Democrats ""want to ban gas powered cars and gas stoves.”",Nikki Haley,"March 13, 2023",half-true,REAL,1
145,Gabrielle,"The 2017 Unite the Right rally in Charlottesville, Virginia, was “an American intel op against Trump.”",Scott Adams,"March 10, 2023",pants-fire,FAKE,0
146,Madison,Video shows that certain drinks can “test positive” for COVID-19 when using at-home COVID-19 tests.,Facebook posts,"March 10, 2023",false,FAKE,0
147,Paul,Wake County is the only large county in North Carolina that elects its commissioners at-large countywide.,Erin Paré,"March 10, 2023",mostly-true,REAL,1
148,Ciara,The White House Visitor Center is displaying a photo of a fake President Joe Biden.,Facebook posts,"March 9, 2023",pants-fire,FAKE,0
149,Ciara,President Joe Biden is “in Gitmo.”,Facebook posts,"March 9, 2023",pants-fire,FAKE,0
150,Conor,"Energy Secretary Jennifer Granholm met ""with the radical green energy group behind the gas stove ban,"" which ""has ties to the"" Chinese Communist Party.",Nicholas Langworthy,"March 9, 2023",barely-true,FAKE,0
151,Amy,"The 2020 election could not have been fair because “Los Angeles County agreed, during litigation, that there were 1.2 million ineligible voters after the election.”",Donald Trump,"March 9, 2023",false,FAKE,0
152,Yacob,"""$1 of every $3 (Ron DeSantis) spends comes from the federal government.""",Fentrice Driskell,"March 9, 2023",true,REAL,1
153,Ciara,“Elon Musk to acquire Facebook soon.”,Bloggers,"March 9, 2023",false,FAKE,0
154,Madison,"Because of daylight saving time, “NO alarm set for the 2:00 a.m. hour will go off” on March 12.",Chain email,"March 9, 2023",half-true,REAL,1
155,Ciara,“Ashli Babbitt is alive and well.”,Instagram posts,"March 9, 2023",false,FAKE,0
156,Ciara,Video shows Elon Musk endorsing “an anti-aging remedy.”,Viral image,"March 9, 2023",false,FAKE,0
157,Ciara,Elon Musk banned U.S. Rep. Alexandria Ocasio-Cortez from Twitter.,Facebook posts,"March 9, 2023",pants-fire,FAKE,0
158,Ciara,Vladimir Putin “orders destruction of all COVID-19 vaccines in Russia.”,Bloggers,"March 9, 2023",pants-fire,FAKE,0
159,Ciara,Bill Gates claims to be a “valid representative of the pharmaceutical industry” because he “read a lot of books about that topic.”,Viral image,"March 9, 2023",false,FAKE,0
160,Ciara,“Crowd erupts as Chip Roy grills Kamala Harris as she lies in Congress” in video.,Facebook posts,"March 8, 2023",pants-fire,FAKE,0
161,Ciara,“The January 6 committee disbanded immediately after the new footage was released.”,Facebook posts,"March 8, 2023",false,FAKE,0
162,Cameron,New York City Mayor Eric Adams proposes to “ban chocolate milk.”,Elise Stefanik,"March 8, 2023",mostly-true,REAL,1
163,Elizabeth,“Lifetime earnings of someone with a college degree is over a million dollars more than those entering the workforce without one.”,Stanley Litow,"March 8, 2023",mostly-true,REAL,1
164,Maria,“We banned transgender” people from serving in the military.,Donald Trump,"• March 8,",mostly-true,REAL,1
165,Tom,"""The Biden administration is floating a new” climate strategy: Don't leave your house.""",Washington Free Beacon,"March 8, 2023",barely-true,FAKE,0
166,Ciara,“Bill Gates arrest warrant issued in Philippines for ‘premeditated murder’ linked to vaccine roll out.”,Instagram posts,"March 8, 2023",pants-fire,FAKE,0
167,Ciara,U.S. Sen. Josh Hawley made U.S. Attorney General Merrick Garland cry at a committee hearing.,Facebook posts,"March 8, 2023",false,FAKE,0
168,Grace,"“The youth suicide rate has increased exponentially alongside trans affirmation. Trans affirmation causes the suicide rate, not the other way around.”",Matt Walsh,"March 8, 2023",barely-true,FAKE,0
169,Madison,Capitol Police officers “helped” QAnon Shaman Jacob Chansley and “acted as his tour guides.”,Tucker Carlson,"March 7, 2023",pants-fire,FAKE,0
170,Gabrielle,"“The five people that died in that plane crash … were supposed to go to Ohio to test the water, the soil and the air quality in East Palestine.”",Facebook posts,"March 7, 2023",false,FAKE,0
171,Ciara,The United Kingdom’s “Parliament closed its borders to prevent Harry and Meg from flying to the UK in order to protect the king.”,Facebook posts,"March 7, 2023",pants-fire,FAKE,0
172,Laura,“Tammy Baldwin wants to take away” Medicare and Social Security.,National Republican Senatorial Committee,"March 7, 2023",false,FAKE,0
173,Madison,“The moon is a habitable place.”,Facebook posts,"March 6, 2023",pants-fire,FAKE,0
174,Gabrielle,“Breaking: John Fetterman RESIGNATION Announcement.”,Instagram posts,"March 6, 2023",false,FAKE,0
175,Madison,Says Ukrainian President Volodymyr Zelenskyy said he wants America’s “sons and daughters to go die in Ukraine.”,Marjorie Taylor Greene,"March 3, 2023",false,FAKE,0
176,Loreben,"In Ohio, “there are 75,000 acres of farmland, fertile farmland, that are all now being poured down with acid rain.”",Facebook posts,"March 3, 2023",false,FAKE,0
177,Gabrielle,“Muslims by the millions are converting to Christianity.”,Facebook posts,"March 3, 2023",false,FAKE,0
178,Loreben,"Digital IDs were given to residents in East Palestine, Ohio, “to track long term health problems like difficulty breathing” before the Feb. 3 train derailment.",Instagram posts,"March 2, 2023",false,FAKE,0
179,Madison,"The Justice Department has been “calling parents that are concerned about what their kids are being taught, they are labeling them terrorists.”",Kat Cammack,"March 2, 2023",false,FAKE,0
180,Madison,Sen. Marco Rubio signed a 2021 letter that “supports waivers that would reduce visual track inspections.”,Pete Buttigieg,"March 2, 2023",barely-true,FAKE,0
181,Jeff,Photo of electric charging station “powered by diesel generator” is emblematic of the electric vehicle movement.,Facebook posts,"February 28, 2023",barely-true,FAKE,0
182,Ciara,“Official govt docs expose Michelle Obama’s 14 year history as a man.”,Facebook posts,"February 28, 2023",pants-fire,FAKE,0
183,Jeff,"""Woody Harrelson’s 60 seconds in the middle of his monologue was cut out of the edits released after the show.”",Instagram posts,"February 28, 2023",false,FAKE,0
184,Ciara,“BREAKING Trump preps Marines to stop presidential coup.”,Facebook posts,"February 28, 2023",false,FAKE,0
185,Ciara,Video shows President Joe Biden recalling an alien encounter.,Facebook posts,"February 28, 2023",false,FAKE,0
186,Tom,"Rifles “were involved in 297 deaths” in the U.S. in 2022 and “constipation killed 2,167.”",Instagram posts,"February 28, 2023",false,FAKE,0
187,Sara,Drinking or using tap water treated with chlorine is dangerous because “chlorine is a poison.”,Facebook posts,"February 28, 2023",false,FAKE,0
188,Ciara,Joe Biden described America as “the foothills of the Himalayas with Xi Jinping.”,Viral image,"February 28, 2023",false,FAKE,0
189,Ciara,"Kid Rock tweeted, “Some people wouldn’t recognize tyranny if it slapped a mask on their face, made them stand 6 feet apart, and forced them to take a vaccine for a virus with a 99.8% survival rate.”",Instagram posts,"February 27, 2023",false,FAKE,0
190,Loreben,"The train that derailed in Ohio was carrying “over 300,000 gallons of a chemical that was banned in 1974.”",Facebook posts,"February 27, 2023",barely-true,FAKE,0
191,Ciara,Photos of an apartment building in Kyiv are evidence the war in Ukraine “is fake.”,Viral image,"February 27, 2023",pants-fire,FAKE,0
192,Ciara,Former President Donald Trump “was the 1st president in U.S. history to acknowledge that children are being sold for sex in the U.S.” while President Joe Biden “rescinded Trump’s executive order that helped combat child sex trafficking.”,Viral image,"February 27, 2023",false,FAKE,0
193,Ciara,"Says Elizabeth Warren said, “Allowing Republicans to vote could threaten the integrity of an election.”",Viral image,"February 27, 2023",false,FAKE,0
194,Andy,“The whole green energy agenda involves more than doubling 10 types of mining.”,Alex Epstein,"February 27, 2023",mostly-true,REAL,1
195,Jill,53% of Americans made aware of the Hunter Biden laptop story would have changed their vote in 2020.,Elise Stefanik,"• February 25,",false,FAKE,0
196,Jeff,"""The laws governing Agenda 2030 land development allows the government to seize polluted lands and move their residents to … smart cities.”",Instagram posts,"February 24, 2023",false,FAKE,0
197,Samantha,Apple will pay customers $700 for a slowed-down iPhone.,Instagram posts,"February 24, 2023",false,FAKE,0
198,Ciara,President Joe Biden was “shot” in a “behind-the-scenes execution.”,Facebook posts,"February 23, 2023",pants-fire,FAKE,0
199,Ciara,“President Joe Biden admits to faking the election.”,Instagram posts,"February 23, 2023",false,FAKE,0
200,Loreben,"In Australia, a “17% increase in heart attack deaths” in the first eight months of 2022 is linked to COVID-19 vaccination.",Instagram posts,"February 23, 2023",false,FAKE,0
201,Ciara,"“Clinton aide found dead, tied to tree in apparent murder.”",Facebook posts,"February 23, 2023",false,FAKE,0
202,Ciara,“Every single one” of former President Barack Obama’s Medal of Freedom recipients in this video “was on Epstein’s flight logs.”,Viral image,"February 23, 2023",false,FAKE,0
203,Amy,Student ID cards are a “source of fraud” at the polls.,Tina Lambert,"February 23, 2023",false,FAKE,0
204,Yacob,"""George Soros has endorsed (Ron) DeSantis for 2024.""",The Gateway Pundit,"February 23, 2023",false,FAKE,0
